"id","question_text","description"
11,"単一引用符と二重引用符の違いの説明として正しいものを選択してください。","文字列のエスケープに関する問題です。
PHPのプログラム内で文字列を指定する場合は、単一引用符「&#039; &#039;」、または二重引用符「&quot; &quot;」を使用します。文字列を指定するという役割は同じですが、囲んだ文字列の中に特殊文字が含まれている際の動作が異なります。

二重引用符で囲まれた特殊文字は、その特殊文字が意味する値に置き換わりますが、単一引用符で囲まれた特殊文字は値に置き換わることなく、そのまま文字列として扱われます。
さらに、二重引用符で囲まれた変数名は、変数が値に置き換えられた文字列となりますが、単一引用符では値に置き換わらず、そのまま変数名として利用されます（C）。

OSによって動作が違うということはありません（A、B）。"
12,"床に落とした食べ物でも「すぐに拾えば大丈夫」というような意味で「3秒ルール」という言葉を使う人がいます。

実際には落ちて何秒までなら拾って食べても大丈夫でしょうか？","床に食べ物を落とした場合、落とした時点でそれは食べない方が良いです。

アメリカでは日本で言う3秒ルールと同じように、5秒までなら良いと言われていました。そんなアメリカで床に食べ物を落とした場合、どの程度の時間で菌がつくか実験が行われました。

結果は、時間が5秒でも、30秒でも、60秒でも同程度の数の多くの菌が付着したというものでした。勿体ないかもしれませんが、3秒ルールは止めた方が良いでしょう。
"
13,"お茶漬けの素に入っている「あられ」には、何の意味があるでしょうか？","お茶漬けの素に入っているあられは、湿気予防のために入れられました。

お茶漬けの素は、現在でこそ密封する技術がありますが、販売開始当初はそうはいきません。

すぐに湿気ってしまうという課題がありました。そこで、湿気を吸って乾燥材の役割を果たしてくれるあられを入れるようになったのが始まりです。"
14,"「シルバー人材センター」など、高齢者を表す色というイメージがある「銀（シルバー）」。
高齢者を指す言葉として定着した由来は何でしょうか？","高齢者を指す言葉として、「シルバー」が定着した由来は、優先席です。

1973年（昭和48年）9月15日の敬老の日、JR（当時は国鉄）が高齢者のために車内に優先席を設置しました。

その時に一目で他の座席と違うことが分かるようにと設置した座席の色が銀色（シルバー）でした。

これは狙って選んだわけではなく、在庫として十分に確保できる座席がたまたま銀色というだけではありましたが、このことから「高齢者＝シルバー」が全国に広がっていきました。"
15,"金色の折り紙は、銀色の折り紙にある色を塗ることで作られます。
その色はなんでしょうか？","折り紙は通常、白い紙に赤や青などのインクを塗って色をつけています。

しかし、金と銀の折り紙はそれらとは別の工場で作られており、紙にアルミ箔を貼った物が銀の折り紙です。

金の折り紙の場合はそうして出来た銀の折り紙の上にオレンジ色のインクを塗ることで完成します。

実際に銀の折り紙にオレンジ色のマジックで色を塗ると金になります。"
16,"ある高級ブランドがサッカーボールを作ったことがあります。
どのブランドでしょうか？","サッカーボールを作ったことがある高級ブランドは、ルイヴィトンです。

1998年（平成10年）のフランス・ワールドカップ開催を記念して、3000個限定で販売されたものです。

誰もが知っている白黒ではなく、あのルイヴィトンの柄のサッカーボールです。現在ではインターネット上で20万円～30万円程で取引されています。

また、ルイヴィトンはワールドカップのトロフィーを入れるケースも作ったことがあります。"
17,"ことわざの「急がば回れ」の語源となったのはどこでしょうか？","ことわざの「急がば回れ」の語源となったのは、琵琶湖です。

新幹線や自動車などが無い時代、旅人が京都に行くためには「琵琶湖を船で渡る」「琵琶湖の周りをぐるりと回る」かの2つの手段がありました。

単純な時間だけ見れば船で渡った方が早いのですが、比叡山から吹き降ろす突風によって船が転覆する危険がありました。

よって、「距離は長くても安全なルートを選んだ方が良い」ということから、このことわざが生まれました。"
18,"「地震、雷、火事、親父」と怖いものを順に並べた言葉があります。
この「親父」は元々自然災害を表していたという説がありますが、それは一体何でしょうか？","地震雷火事親父の親父は、台風のことだったという説があります。

江戸時代には「台風」という言葉はありませんでしたが、「大山嵐（おおやまじ）」という言葉があり、これは現在で言う台風を表していました。

それが変化して「親父」になったという説があります。

とは言え、これはあくまで説の1つに過ぎず、明確な文献などは発見には至っていません。"
19,"かぐや姫の原作である「竹取物語」の作者は誰でしょうか？","竹取物語の作者は、不明です。
しかし、「当時の識字率」「当時貴重な紙を手に入れることができていたこと」「作者には和歌の才能もあったこと」などから上流階級の人物であったのは間違いないとされています。
作者である可能性があるとされる人物として紀貫之、菅原道真などの名前が挙がりますが、はっきりしたことは分かっていません。"
20,"江戸時代には、身分が高い女性があることをしてしまった際に、「私がやりました」と身代わりになる人がいました。
何の身代わりだったでしょうか？","江戸時代には、身分が高い女性がおならをしてしまった際に身代わりとなる「屁負比丘尼（へおいびくに）」という職業がありました。

江戸時代は、現代以上に人前でおならをするのが恥ずかしいことであり、見合いの席でおならをしてしまった恥ずかしさから自ら命を絶ってしまった女性がいた程です。

屁負比丘尼は、普段は身分の高い女性の傍で雑用などをこなす使用人のようなことをしており、いざその時が来たらおならの身代わりとなる役割がありました。"
21,"靴の一種、「ローファー」には英語でどんな意味があるでしょうか？","ローファーには、英語で「怠け者」という意味があります。

紐靴が当たり前であった中で登場した、「靴紐を結ばずに履くことができる楽な靴」は「怠け者の靴である」ということから来ていると言われています。"
22,"明治時代の自転車の価格は、現在で言えば何円くらいでしょうか？","明治30年（1897年）頃、アメリカ製の自転車が200～250円ほどで売られていました。

現在の価格に換算すると約400万円であり、かなり高価な品であったことが分かります。"
23,"明治時代、女性たちの間で写真を撮る際に流行したポーズはなんでしょうか？","当時の美的感覚として「手が小さい女性が綺麗である」というものがありました。

また、「写真に手が写ると手が腫れる」という迷信もあったようです。

それらの理由から、明治時代の女性は手を袖で隠して写真に写ることが多くありました。"
24,"明治時代、「アイス」と呼ばれていたのはどんな人たちでしょうか？","「高利貸（こうりがし）」は法外な金利でお金を貸す人のことであり、分かりやすく言えば「闇金」のような存在です。

アイスクリームが「氷菓子（こおりがし）」と呼ばれていたことから、言葉遊びのような感覚で「高利貸」のことを「アイス」と呼ぶようになりました。

明治20年代頃から使われている表現でしたが、1897年（明治30年）から1902年（明治35年）まで読売新聞で掲載された尾崎紅葉の小説「金色夜叉」の作中でその表現が用いられたことで更に広まって行ったとされています。"
25,"次のうち、明治時代の学校教育にも取り入れられていたものは何でしょうか？","明治時代の幼稚園や小学校では、教育の一環として折り紙の授業が行われていました。

当時の折り紙は儀礼に用いられるものでもあったことから、高等女学校や女子師範学校では作法として「儀礼折り紙」を教えていました。"
26,"明治時代に「文明開化の七つ道具」と呼ばれたものがあり、その中に１つだけ食べ物が入っていました。
それはなんでしょうか？","「文明開化の七つ道具」は資料によって若干異なることもあるようですが一般的には…

郵便・瓦斯灯・蒸気船・写真・軽気球・陸蒸気、そして7つ目としてあんパンが挙げられます。

あんパンは明治時代に誕生し、明治天皇に献上された品でもありました。"
27,"「（　　　）頭をたたいてみれば、文明開化の音がする」。

この空白に当てはまる言葉はなんでしょうか？","「散切り頭をたたいてみれば、文明開化の音がする」とは、明治時代初期に流行った歌の一節です。

歴史の教科書にも載っているため、見覚えがある人も多いのではないでしょうか。

「散切り頭」とは、ちょんまげを辞めて後ろ髪を短く切り揃えた髪形を指します。

1871年（明治4年）に明治政府は「散髪脱刀令（さんぱつだっとうれい）」を布告しました。これは「ちょんまげを結わなくても良いし、帯刀する必要もない」という内容でした。

それをきっかけに「散切り頭」が徐々に一般的に広がっていきました。"
28,"明治時代、洋犬（西洋の犬）は何と呼ばれていたでしょうか？","明治時代、洋犬は「カメ」と呼ばれていました。

外国人が犬を呼ぶ「come」という言葉が当時の日本人には「カメ」と聞こえたことから来ていると言われています。

犬の名前の定番が「ポチ」になったのも丁度その頃からです。

これも英語で「まだら」を意味する「patch（パッチ）」・フランス語で「小さい」を意味する「petit（プチ）」などを聞き間違えたのがきっかけと言われています。

それまでは「シロ」「クロ」「ブチ」などが犬の名前の定番でした。"
29,"明治時代の人たちは、最初は牛乳に対して偏見を持っていました。

それはどんなものだと言われているでしょうか？","牛乳が普及し始めたのは1871年（明治4年）頃のことです。

「赤ちゃんに飲ませると健康に育つ」という売り文句でしたが、当時はまだ牛乳の栄養に関する知識までは普及していませんでした。

「牛乳＝牛の赤ちゃんだけが飲むもの」という考えが強かったのです。

そのため「牛乳を飲んで育った赤ちゃんは成長しても2足歩行ができず、牛みたいに四つん這いで歩くようになる」といった偏見を持たれてしまっていました。"
30,"夏目漱石は猫を飼っていました。

その猫の名前はなんでしょうか？","夏目漱石の代表作の1つ「吾輩は猫である」の一文に、「吾輩は猫である。名前は、まだ無い。」というものがあります。

その猫は、夏目漱石が実際に飼っていた猫がモデルだと言われています。

何度追い返しても自宅に出入りするようになった野良猫を飼うことにした彼ですが、特に名前を付けることはなく「猫」と呼んでいました。

だから「名前は、まだ無い」ということなのでしょう。"
31,"明治時代初期には黒い郵便ポストが使われていましたが、途中から赤色に変わりました。

その理由はなんでしょうか？","明治時代、最初に作られたポストは色が塗られていない木の箱でした。その頃は「書状集箱」と呼ばれていました。

明治5年頃になると、まだ木製ではありますが黒く塗られた郵便ポストが登場します。

しかし、夜になると黒だと見づらいことから明治30年代になるとイギリスの郵便ポストを参考にして赤くて丸みのある鉄製の郵便ポストが作られました。"
32,"情報セキュリティの対応に関する記述のうち、情報セキュリティの要素の一つである「機密性」を直接的に高める具体的な例はどれか。","イは「完全性」を高める例であり、ウ及びエは「可用性」を高める例である。"
33,"以下の文章を読み、（　　）に当てはまる最も適切なものを、選択肢（ア～エ）から１つ選びなさい。","CPOとは、個人情報取扱事業者において、個人データの安全管理の実施及び運用に関する責任及び権限を有する者として任命される、個人情報保護管理者のことである。"
34,"「不正アクセス行為の禁止等に関する法律」（不正アクセス禁止法）における「不正アクセス行為を助長する行為」に該当する行為はどれか。","コンピュータプログラムの不備をついて、アクセスを試みる行為や、電子メールによりユーザID・パスワードなどを詐取しようとする行為（フィッシングなどを想定）は、「不正アクセス行為」に該当する。また、スタンドアロン（ネットワーク回線に接続されていない）コンピュータに対する不正使用等は、「不正アクセス行為」及び「不正アクセス行為を助長する行為」には該当しない。"
35,"以下の文章を読み、（　　）内のそれぞれに入る最も適切な語句の組合せを、選択肢（ア～エ）から１つ選びなさい。

JIS Q 27000:2019において、「リスク」は「（　　　）」と定義されている。","JIS Q 27000:2019において、「リスク」は「目的に対する不確かさの影響」と定義されている。
なお、イは「ぜい弱性」、ウは「脅威」、エは「事象」の定義である。"
36,"以下の文章は、モバイル機器利用に関する脅威に関する知識を述べたものである。正しい場合には○、誤っている場合には×としなさい。

スマートフォンは、購入時にインストールされているアプリのみを利用していれば、ウイルス感染などの脅威は発生しない。また、これらのアプリは極めて安全性が高いため、アップデートの通知があった際は、すぐにアップデートを実施しなくても、暫くの間は安全性が保たれるようになっている。","スマートフォンは、購入時にインストールされているアプリのみを利用していたとしても、メールに記載されている不正なWebサイトのURLをクリックしたり、不正なWebサイトからデータをダウンロードすることなどにより、ウイルス感染などの脅威が発生する。なお、これらのアプリは、ベンダーなどが提供していないアプリと比較すると安全性が高いといえるが、アップデートの通知があった際は、適宜アップデートを実施しないと、正常に動作しなくなる場合もあり、ウイルス感染などの被害にあいやすくなる。"
37,"以下の文章を読み、（　　）内のそれぞれに入る最も適切な語句の組合せを、選択肢（ア～エ）から１つ選びなさい。

（　ａ　）とは、企業で利用されるスマートフォンやタブレットなどのモバイル機器に関して、システム設定などを統合的に効率よく管理する手法のことである。また、そのために利用するソフトウェアや情報システムなどを指すこともある。（ａ）の機能の一つである（　ｂ　）は、モバイル機器を遠隔操作によって一括管理し、利用の制限をかけるものである。これによって、機器の紛失や盗難の際に、情報漏えいを防ぐことが可能とな","MDMとは、企業で利用されるスマートフォンやタブレットなどのモバイル機器に関して、システム設定などを統合的に効率よく管理する手法のことである。また、そのために利用するソフトウェアや情報システムなどを指すこともある。MDMの機能の一つであるリモートロックは、モバイル機器を遠隔操作によって一括管理し、利用の制限をかけるものである。これによって、機器の紛失や盗難の際に、情報漏えいを防ぐことが可能となる。また、紛失や盗難に備え、予めローカルワイプの設定をしておくことによって、第三者の不正使用や、情報漏えいを防ぐことが可能となる。ローカルワイプが設定されている機器では、利用者認証やロック解除を連続して一定回数以上失敗した場合、機器内のデータが自動消去される。"
38,"以下の文章は、SNSの利用に関する脅威に関する知識を述べたものである。正しい場合には○、誤っている場合には×としなさい。

ソーシャルメディアにおいて、短縮URLを利用することにより、いわゆる「つぶやき」などでURLを記載する際に文字数を節約できたり、日本語のURLのリンクが途切れないなどのメリットがある。また、短縮URLは、圧縮されているためURLが改ざんされにくく、不正なWebサイトへ転送される危険性が低いため、短縮URLで表示されているサイトは、安全性が高いといえる。
","ソーシャルメディアにおいて、短縮URLを利用することにより、いわゆる「つぶやき」などでURLを記載する際に文字数を節約できたり、日本語のURLのリンクが途切れないなどのメリットがある。ただし、短縮URLは、一見しただけでどのようなWebサイトにリンクされているか判断しにくいことから、この機能を悪用したフィッシング詐欺やワンクリック詐欺などの、不正なサイトに誘導されてしまう場合がある。
なお、短縮URLとは、WebサイトのURLを短く変換し、少ない文字列に圧縮して表示するサービスである。"
39,"企業においてソーシャルメディアを活用する際の対策に関する記述のうち、最も不適切なものはどれか。","ア．適切な記述である。	業務でSNSを利用できる部門を限定し、情報を管理する。例えば、広報部門、商品企画部門、カスタマーサポート部門などに限定する。
イ．適切な記述である。	SNSの利用目的とその範囲を明確化する。例えば、顧客からの問合せに対する返信や、新商品やキャンペーンなどの情報の発信などの業務目的に限定し、それ以外での情報発信を禁止するなどの規定を明確にする。
ウ．適切な記述である。	投稿する内容の検査や精査を、投稿前に行う。例えば、投稿する内容の担当者によるチェックをあらかじめ行い、禁止事項などが含まれていないかの確認を行う。
エ．不適切な記述である。	自社の公式アカウントのフォロワーへの対応を、適切に行う。例えば、フォロワーからのコメントに充分な注意を払い、適切な対応ができるように、担当窓口を明確にする。
なお、従業員の自主性に委ねてしまうと、対応に矛盾が生じたり、対応に一貫性がなくなる危険性が高まる。その場合は、マイナスのイメージをフォロワーに与えることになるので、対応方針や対応ルールを定め、担当窓口を明確にしておく必要がある。"
40,"福岡県は日本のどの地方に属しているでしょうか？","福岡県は九州地方の北部にある件です。

九州には福岡県を含む7つの県がありますが、その中最も人口が多い県となっています。

日本海側に面していますが、一部地域を除き太平洋気候となっているため気候は温暖です。"
41,"福岡県の県庁所在地は次のうちどこでしょうか？","福岡市は福岡県の西部に位置する街です。

人口は161万2392人と多く、全国1741市区町村ある中で5番目に人口が多い市となっています。そのため、九州の中でも行政や経済、交通の中心地となっています。

県庁所在地および政令指定都市として指定を受けています。"
42,"福岡県には政令指定都市が2つあります。

福岡市の他にもう一つはどこでしょうか？","北九州市は福岡県の北部にある件です。

県内では福岡市の次に大きな市として知られ、福岡県で最初の政令指定都市には北九州市で、福岡市は2番目に指定されました。

関門海峡に面している土地柄から、古くは九州地方の玄関として繁栄しました。"
43,"福岡県の観光PRしている明太子をモチーフにした公式キャラクターがいます。

その名前は何でしょうか？","福岡県のＰＲを積極的に行うキャラクター聖徳明太子は、聖徳太子のような帽子をかぶり、左手に笏(しゃく)をもった明太子です。

性格はとても人情深く、紳士的なおっさん・・・だそうです。

「たらこ」と言われることを嫌います。また、聖徳太子のように同時に数人の話を聞くことが出来るそうです。"
44,"福岡県には隣接している県はいくつあるでしょうか？

(※陸地と海域どちらも含む)","福岡県に隣接している県は、佐賀県・熊本県・大分県・山口県・長崎県の5つです。

長崎県と山口県については海上での隣接になります。"
45,"福岡県には「県の花」が制定されていますが、その花はなにでしょうか？","福岡県の花はウメです。昭和29年3月に決められました。

県のマーク(シンボル)もウメの花を象ったものが使用されています。

由来は、太宰府天満宮にある梅からとったと言われています。"
46,"福岡県には旧七帝大(旧帝大)と言われる有名大学があります。

その大学の名前は何でしょうか？","旧七帝大とは、国立大学の「九州大学」「北海道大学」「東北大学」「東京大学」「名古屋大学」「京都大学」「大阪大学」の7つの大学を指します。

簡単に言えば大昔に作られた、エリート養成学校です。"
47,"次のうち福岡県が全国ランキング1位のカテゴリーはどれでしょうか？","福岡県は竹炭の生産量が全国1位となっており、全国シェアは58.6%と世に出回っている国産の竹炭の半数以上が福岡県産となっています。

竹炭は料理にも使えますし、トイレや下駄箱、冷蔵庫など置いて消臭剤としての活用方法もあります。

ちなみに、①と③は共に3位となっています。"
48,"母「早く寝なさい！」息子「しゃーしいわ！」

この会話、息子はなんと言っているでしょうか？","「しゃーしい」は福岡県の福岡市博多区を中心に使われている方言で博多弁です。

最近は若い人は使わない傾向にあるそうですが、まだまだ一般的には使用されています。

意味は「うるさい」。「しゃーしい」は人に対してだけでなく、例えば「この作業しゃーしい（この作業めんどくさい）」といった使い方もするそうです。

「しゃーしい」の強いバーションで「せからしか」という方言もあります。"
49,"福岡県を拠点とするプロ野球チーム「福岡ソフトバンクホークス」のホーム球場の現在の名前は何でしょうか？","福岡市中央区にある福岡ドームは、これまで何度か名前が変わっています。

現在の名称「福岡PayPayドーム」は2019年から使用されている名将です。

ちなみに、①は2005-2013年②は2013-2019年に呼ばれていた歴代の名称です。"
50,"福岡県の人口は次のうちどれでしょうか？","福岡県の人口はおよそ513万です。

47都道府県のうち9番目に多く、九州の中で最も人口が多い県となっています。

しかし、面積は47都道府県のうち29番目とそう広くない為、47都道府県で7番目の人口密度の高さとなっています。"
51,"福岡市にあるランドマークの「福岡タワー」の高さはどのくらいでしょうか？","「福岡タワー」は日本で一番高い海浜タワーとして知られています。

1989年に開催されたアジア太平洋万博に合わせて建設されました。

最上階には展望台が設置してあり、そこから見える福岡市の夜景は大変人気です。"
52,"福岡県太宰府市にある「太宰府天満宮」に祀られている「菅原道真公」は、何の神様として知られているでしょうか？","太宰府天満宮は菅原道真公が祀られている神社です。

「学問・至誠・厄除けの神様」として全国からの観光客が絶えない有名な神社です。

菅原道真公は京都で生まれ、幼少期より学問の才能があったとされます。

その後、学者や政治家として活躍しましたが無実の罪で京都から太宰府に流され、この地で生涯を終えました。"
53,"福岡県には「県の鳥」が制定されていますが、その花は何でしょうか？","福岡県の鳥はウグイスです。昭和39年7月に公募にて決められました。

県の花がウメであることから、公募の過半数がウグイスの記載だったそう。

なぜ、ウメだからウグイスなのか？それは「梅に鶯」という漢詩があり、「絵になる組み合わせ」「仲が良い」といった意味があり、そのため「ウメだからウグイス」となったそうです。"
54,"福岡県には3つの海が面しており、それぞれ〇〇灘と称されています。

「周防灘(すおうなだ)」と「響灘(ひびきなだ)」、あともう一つはなにでしょうか？","福岡県には日本海側に「響灘」「玄界灘」があり、瀬戸内海側には「周防灘」があります。

ちなみに、この「灘(なだ)」とは海流や潮流が速い場所や、風浪が激しい場所で航海が困難な海域を指す言葉として使われています。"
55,"福岡県だけで栽培される苺「あまおう」は、ある言葉の頭文字をとってつけられました。

「あ⇒赤い」「ま⇒丸い」「お⇒大きい」、最後の「う」の言葉は何でしょうか？","「赤い」「丸い」「大きい」「美味い」の頭文字をとって「甘い苺の王様になりますように」という意味も込めて「あまおう」という名前を採用しました。

ちなみに、栃木県のブランド苺「とちおとめ」のライバルとして作られた苺としても有名で

東の「とちおとめ」西の「あまおう」として苺界の「東西の両横綱」とも言われています。

ちなみに、収穫量ランキングは1位が「とちおとめ」、2位が「あまおう」で良きライバル関係にあるようです。"
56,"福岡県の名産品「明太子」は魚卵ですが、何の魚の卵でしょうか？","福岡県の名産品「明太子」は、スケトウダラの魚卵です。

唐辛子をたっぷり使用した調味料で加工して「明太子」となります。

ちなみに、スケトウダラ以外のタラ科の魚卵を使っても「明太子」と名乗ることはできません。

「全国辛子めんたいこ食品公正取引協議会」が定める規約では、「辛子明太子」はすけとうだらの卵巣（卵を含む）に唐辛子を原料とする調味液等で味付けしたものをいう」と記載されています。"
57,"福岡の方言「さんのーがーはい」の意味は、標準語で何でしょうか？","「さんのーがーはい」は標準語で「いっせーのーせ」という意味です。

この方言は福岡では方言と認識していない人も多いそうで、上京して初めて方言だったんだ！と気が付く人も多いそうです。"
58,"福岡県で有名なお祭り「博多どんたく」ですが、「どんたく」の意味は次のうちどれでしょうか？","「どんたく」はオランダ語の「ゾンターク」と言われています。「ゾンターク」は日曜日や休日という意味です。

博多どんたくは福岡市で毎年5月に行われる伝統あるお祭りです。

県内外から観光客が訪れ。毎年約200万人以上の人たちが押し寄せます。明治通りには屋台も出ており美味しいものを食べながらお祭りを楽しめます。"
59,"福岡県のある市に「目尾」と書いて「しゃかのお」と難しい読み方をする地域があります。

その地域とは次のうちどれでしょうか？","「目尾」は、飯塚市にある地域です。

「しゃかのお」という読み方は、1342年の時点で同じ読み方で文書に登場しているため古くから呼ばれている読み方です。"
60,"上司と一緒にどこかへ向かうときの敬語として正しいのはどれでしょうか？","「参る」は謙譲語なので「一緒に参る」では、上司も一緒にへりくだる表現になってしまいます。

また、「お行きになる」は自分に尊敬語を使っていることになるので、正しくありません。"
61,"適切な敬語はどれでしょうか？","「言う」の尊敬語は「おっしゃる」「言われる」です。謙譲語は「申す」「申し上げる」です。"
62,"かかってきた電話は、一般的には何コール以内にとるのが良いとされているでしょうか？","一般的には３コール以内にとるのが良いとされています。

それ以上の場合は「お待たせいたしました」と一言添えると良いでしょう。"
63,"出入口にもっとも近い席は、上座と下座どちらでしょうか？","一般的には、出入口に近いのが下座、出入口に遠いのが上座です。"
64,"タクシーに乗る時に、上座となる席はどこでしょうか？","一般的に、タクシーに乗る時には、運転席の後ろが上座、助手席が下座となります。"
65,"電話相手の名前を聞く時の聞き方として、正しいのはどれでしょうか？","「頂戴」は「もらう」の謙譲語で、名刺などに使うのは正しいですが、名前に対して使うのは適切ではありません。

「申す」は謙譲語なので、相手の行動に対して使う言葉ではありません。

「お名前を教えていただけますか？」「お名前をお伺いしてもよろしいでしょうか？」などの聞き方が良いでしょう。"
66,"取引先相手の会社を表す言葉として間違っているものはどれでしょうか？","「御社」「貴社」は相手の会社に対して使う言葉です。

話し言葉では「御社」、書き言葉では「貴社」を使うのが一般的です。「弊社」は自分の会社を指す、へりくだった表現です。"
67,"上司と一緒に取引先に訪問したとき、手土産は誰から渡すのが良いでしょうか？","手土産は、こちら側の役職の高い人から渡すのが良いでしょう。"
68,"会社に無言電話がかかってきたときは、どの対応が適切でしょうか？","相手の電話の状況で、図らずも無言電話になってしまった可能性もあります。いたずらや、悪意のあるものと決めつけないで対応しましょう。

「お電話が遠く、お声がこちらに届いていないようでございますので、大変申し訳ございませんが、受話器を置かせていただきます。」と告げて、静かに電話を切りましょう。"
69,"社内でお客様を案内するとき、自分はお客様に対してどの位置を歩くのが良いでしょうか？","社内でお客様を案内するときは、自分は2,3歩斜め前を歩くのが基本的なマナーです。"
70,"適切な敬語はどれでしょうか？","１は「ら抜き」言葉なので適切ではありせん。正しくは「水曜日は来られますか？」です。

２は「さ入れ」言葉なので適切ではありません。正しくは「写真を見せてください。」"
71,"コートを着て相手先を訪問したとき、コートを脱ぐタイミングとして適切なのはいつでしょうか？","コートやマフラー、手袋などは玄関に入る前に脱ぐのがマナーです。

着る時も、中ではなく玄関を出てから着るのが良いでしょう。"
72,"お客様を会議室などの部屋に案内するとき、入室する順として正しいのはどれでしょうか？","ドアが内開きか、外開きかで、お客様を部屋に通すときの対応は異なります。

内開きのときは、自分が先に入りドアを押えます。外開きのときは、自分が廊下でドアを押さえてお客様を先に通します。"
73,"上司に対しての挨拶で、不適切なものはどれでしょうか？","「ご苦労様」には、武家社会で主君が家来を労わる、ご苦労であったという言葉が語源になるので、目上の相手には使えません。"
74,"仕事をスムーズに進めるために使われる「ホウレンソウ」とは、何を略した言葉でしょうか？","ホウ（報告）レン（連絡）ソウ（相談）は仕事を潤滑に行うためにとても大切です。"
75,"お客様にお茶を出すとき、相手から見てどの方向から出すのが一般的なマナーでしょうか？","座っている相手の右側（右後ろ）から、お茶を出すのが一般的なマナーです。

ただし、右側から出すのが難しい場合は左側から出しても構いません。"
76,"握手のマナーとして正しいものはどれでしょうか？","男性は、女性が手を差し出してくるまで待ちましょう。"
77,"コース料理の最中に、ナイフとフォークを八の字にしてお皿の上に置いているのは、何を表しているでしょうか？","お手洗いなどで、食事中に席を外すときには、ナイフとフォークを八の字にして中座することで、「食事の途中である」と表していることになります。"
