"id","question_id","choice_text","correct"
178,54,"相模灘(さがみなだ)","0"
179,54,"玄界灘(げんかいなだ)","1"
180,55,"美味い","1"
181,55,"熟れてる","0"
182,55,"嬉しい","0"
183,56,"サーモン","0"
184,56,"まぐろ","0"
185,56,"スケトウダラ","1"
186,57,"さん にー いち はい","0"
187,57,"いっせーのーせ","1"
188,57,"よーいドン","0"
189,58,"日曜日(休日)","1"
190,58,"楽しい","0"
191,58,"神輿","0"
192,59,"飯塚市","1"
193,59,"宗像市","0"
194,59,"筑後市","0"
195,60,"それでは、一緒に参りましょう。","0"
196,60,"それでは、一緒にお行きになりましょう。","0"
197,60,"それでは、一緒にお供いたします。","1"
198,61,"社長が私に申し上げられました。","0"
199,61,"社長が私におっしゃいました。","1"
200,61,"社長が私に申されました。","0"
201,62,"3コール以内","1"
202,62,"5コール以内","0"
203,62,"7コール以内","0"
204,63,"上座","0"
205,63,"下座","1"
206,63,"上座でも下座でもない","0"
207,64,"助手席","0"
208,64,"助手席の後ろ","0"
209,64,"運転席の後ろ","1"
210,65,"お名前を教えていただけますか？","1"
211,65,"お名前を頂戴してもよろしいですか？","0"
212,65,"お名前を申していただけますか？","0"
213,66,"御社","0"
214,66,"貴社","0"
215,66,"弊社","1"
216,67,"上司から","1"
217,67,"部下である自分から","0"
218,67,"手渡しせず、目につくところにそっと置いておく","0"
219,68,"相手が無言でも、丁寧に断りを入れて電話を切る","1"
220,68,"相手が無言なので、こちらも無言で電話を切る","0"
221,68,"相手が無言でも、無言電話は良くないことを伝えて電話を切る","0"
222,69,"斜め前","1"
223,69,"真横","0"
224,69,"斜め後ろ","0"
225,70,"水曜日は来れますか？","0"
226,70,"飲めないものはありますか？","1"
227,70,"写真を見させてください。","0"
228,71,"玄関に入った後","0"
229,71,"玄関に入る前","1"
230,71,"部屋まで案内されたとき","0"
231,72,"常に自分が先に入る","0"
232,72,"常にお客様が先に入る","0"
233,72,"ドアの開き方により異なる","1"
234,73,"ご苦労様です","1"
235,73,"失礼します","0"
236,73,"ありがとうございます","0"
237,74,"方針・連結・相互","0"
238,74,"法律・練習・掃除","0"
239,74,"報告・連絡・相談","1"
240,75,"相手から見て左側から","0"
241,75,"相手から見て右側から","1"
242,75,"どちら側からでも良い","0"
243,76,"左利きの人は左手で握手をする","0"
244,76,"地位の低い人から先に手を差し出す","0"
245,76,"女性には、男性から先に握手を求めてはいけない","1"
246,77,"食事が始まる前ということ","0"
247,77,"食事中ということ","1"
248,77,"食事が終了しているということ","0"
249,78,"15度","0"
250,78,"30度","0"
251,78,"45度","1"
252,79,"A：尊敬語　B：尊敬語　C：尊敬語","0"
253,79,"A：謙譲語　B：尊敬語　C：尊敬語","0"
254,79,"A：尊敬語　B：謙譲語　C：尊敬語","1"
255,80,"2回","0"
256,80,"3～4回","1"
257,80,"5～6回","0"
258,81,"両手で名刺を持って、自分が読める向きで渡す","0"
259,81,"両手で名刺を持って、相手が読める向きで渡す","1"
260,81,"片手で名刺を持って、相手が読める向きで渡す","0"
261,82,"相手が出した名刺より低い位置から渡す","0"
262,82,"相手が出した名刺より高い位置から渡す","1"
263,82,"相手が出した名刺と全く同じ高さから渡す","0"
264,83,"葬式","1"
265,83,"結婚式","0"
266,83,"無理をしてでも両方に出席する","0"
267,84,"洗面台のハンドソープを使う","0"
268,84,"便座のフタを閉める","0"
269,84,"トイレットペーパーを三角形に折る","1"
270,85,"こんにちは","1"
271,85,"お疲れ様です","0"
272,85,"挨拶はしない","0"
273,86,"白色以外の封筒を使うのはマナー違反","0"
274,86,"白色か茶色の封筒を使うと良い","1"
275,86,"封筒であればどんな派手な色でも構わない","0"
276,87,"〇〇先生　御机下","1"
277,87,"〇〇先生　殿","0"
278,87,"〇〇先生　様","0"
279,88,"ただいま山田さんは、席を外しております","0"
280,88,"ただいま山田課長は、席を外しております","0"
281,88,"ただいま山田は、席を外しております","1"
282,89,"特に気にせずそのままにしておく","0"
283,89,"本人に読み方を尋ねる","1"
284,89,"後でインターネットで調べる","0"
285,90,"タートルネック","1"
286,90,"ジャージ","0"
287,90,"ワンピース","0"
288,91,"半パン","0"
289,91,"リトルパンツ","0"
290,91,"ショートパンツ","1"
291,92,"アンダー","0"
292,92,"パンツ","1"
293,92,"ソックス","0"
294,93,"チョーク","1"
295,93,"修正液","0"
296,93,"ペンキ","0"
297,94,"通帳","0"
298,94,"ノート","1"
299,94,"ふせん","0"
300,95,"スニーカー","1"
301,95,"靴下","0"
302,95,"タオル","0"
303,96,"セーター","0"
304,96,"イヤーパッド","0"
305,96,"マフラー","1"
306,97,"ベランダ","0"
307,97,"テラス","0"
308,97,"フローリング","1"
309,98,"ワールドカップ","0"
310,98,"メジャーリーグ","1"
311,98,"オリンピック","0"
312,99,"小麦粉","1"
313,99,"そば粉","0"
314,99,"タピオカ粉","0"
315,100,"リビング","0"
316,100,"ダイニング","0"
317,100,"キッチン","1"
318,101,"ウィッグ","1"
319,101,"ニット","0"
320,101,"チーク","0"
321,102,"フリーター","0"
322,102,"アルバイト","0"
323,102,"ニート","1"
324,103,"パステル","0"
325,103,"ドット","1"
326,103,"バブル","0"
327,104,"ミリタリー","0"
328,104,"カモフラ","1"
329,104,"スパイ","0"
330,105,"ジャー","1"
331,105,"レンジ","0"
332,105,"インスタ","0"
333,106,"ホットパンツ","0"
334,106,"デニム","1"
335,106,"スパッツ","0"
336,107,"ファスナー","1"
337,107,"ロック","0"
338,107,"チョッキ","0"
339,108,"サマーハット","0"
340,108,"ストローハット","1"
341,108,"ブラウンハット","0"
342,109,"ホルスタイン","0"
343,109,"キャットタワー","0"
344,109,"レオパード","1"
345,110,"保育士","1"
346,110,"ベビーシッター","0"
347,110,"メイドさん","0"
348,111,"物干し竿","0"
349,111,"ハンガー","1"
350,111,"突っ張り棒","0"
351,112,"うすだいだい色","1"
352,112,"ショッキングピンク","0"
353,112,"スキンカラー","0"
354,113,"ガルル","0"
355,113,"ブルル","0"
356,113,"ウルル","1"
357,114,"老人病","0"
358,114,"青年病","0"
359,114,"生活習慣病","1"
360,115,"Aテレ","0"
361,115,"Eテレ","1"
362,115,"Nテレ","0"
363,116,"オウンゴール","1"
364,116,"バックゴール","0"
365,116,"ホームゴール","0"
366,117,"プラスタイム","0"
367,117,"アディショナルタイム","1"
368,117,"ゴールデンタイム","0"
369,118,"普通はがき","0"
370,118,"一般はがき","0"
371,118,"郵便はがき","1"
372,119,"ダンシングスイミング","0"
373,119,"アーティスティックスイミング","1"
374,119,"ロマンティックスイミング","0"
375,120,"PPAP","0"
376,120,"IcedID","1"
377,120,"Dridex","0"
378,120,"LODEINFO","0"
379,121,"Malware Checker","0"
380,121,"Malware Cleaner","0"
381,121,"VirtualToast","0"
382,121,"VirusTotal","1"
383,122,"OCB2を製品に実装するためのプログラムの作成者","0"
384,122,"研究所に配属された新卒2年目の新人","1"
385,122,"暗号技術の大家と呼ばれる研究所の所長","0"
386,122,"社内システムのセキュリティーエンジニア","0"
387,123,"ファイル共有ストレージ製品に脆弱性があったから","1"
388,123,"共有ストレージ製品の設定を変更していたから","0"
389,123,"LAN内のパソコンがマルウエアに感染したから","0"
390,123,"初期設定では外部からアクセス可能になっているから","0"
391,124,"マルウエア感染","1"
392,124,"メールの誤送信","0"
393,124,"ファイルの取り違え","0"
394,124,"クラウドサービスの設定ミス","0"
395,125,"カブトムシ","0"
396,125,"バッタ","0"
397,125,"てんとう虫","1"
398,125,"かみきり虫","0"
399,126,"データを破壊すると脅す","0"
400,126,"データを公開すると脅す","1"
401,126,"攻撃の踏み台にすると脅す","0"
402,126,"システムを破壊すると脅す","0"
403,127,"オンラインの恋愛ゲーム","1"
404,127,"ガスの使用量や請求額を確認するサイト","0"
405,127,"お湯張り監視","0"
406,127,"床暖房管理","0"
407,128,"クラウドサービス","0"
408,128,"リモートアクセスサーバー","0"
409,128,"スマートフォン","0"
410,128,"VPN装置","1"
411,129,"Let's Encrypt","1"
412,129,"自前発行の証明書（オレオレ証明書）","0"
413,129,"GMOグローバルサイン","0"
414,129,"DigiCert","0"
415,10,"%","0"
416,10,"#","0"
417,10,"$","1"
418,10,"特に必要ない","0"
419,11,"二重引用符で囲まれた変数名は変数が値に置き換わるが、Windowsでは、単一引用符で囲まれた変数は値に置き換わることなくそのまま変数名（文字列）として扱われる","0"
420,11,"二重引用符で囲まれた変数名は変数に置き換わるが、LinuxやUNIXでは、単一引用符で囲まれた変数は値に置き換わることなくそのまま変数名（文字列）として扱われる","0"
421,11,"二重引用符で囲まれた変数名は変数に置き換わるが、単一引用符で囲まれた変数は値に置き換わることなくそのまま変数名（文字列）として扱われる","1"
422,11,"違いはない","0"
